genome_id	taxa_name	participation_index	taxon_level
JN258408|_sliding:610001-620000	Imitervirales	1.0	order
EU304328|_sliding:1-10000	Algavirales	1.0	order
EU916176|_sliding:138001-139000	Algavirales	1.0	order
DQ079869	Petitvirales	1.0	order
DQ079876	Petitvirales	0.6666666666666666	order
BK013469	Norzivirales	1.0	order
JN258408|_sliding:235001-240000	Imitervirales	1.0	order
OP880253|_sliding:1-10000	Nakonvirales	1.0	order
JN258408|_sliding:440001-450000	Imitervirales	1.0	order
JN258408|_sliding:135001-136000	Imitervirales	1.0	order
JN258408|_sliding:915001-916000	Imitervirales	1.0	order
JN258408|_sliding:1070001-1080000	Imitervirales	1.0	order
MF172923|_sliding:2001-3000	Picornavirales	1.0	order
JN258408|_sliding:243001-244000	Imitervirales	1.0	order
EU304328|_sliding:50001-55000	Algavirales	1.0	order
BK014192	Norzivirales	1.0	order
JN258408|_sliding:816001-817000	Imitervirales	1.0	order
JN258408|_sliding:1100001-1105000	Imitervirales	1.0	order
JN258408|_sliding:1143001-1144000	Imitervirales	1.0	order
EU304328|_sliding:60001-70000	Algavirales	1.0	order
JN258408|_sliding:10001-20000	Imitervirales	1.0	order
JN258408|_sliding:530001-540000	Imitervirales	1.0	order
DQ079871.1	Petitvirales	0.75	order
AB043679	Tubulavirales	0.36363636363636365	order
JN258408|_sliding:980001-990000	Imitervirales	1.0	order
EU916176|_sliding:104001-105000	Algavirales	1.0	order
KC292020|_sliding:10001-20000	Thumleimavirales	1.0	order
JN258408|_sliding:560001-565000	Imitervirales	1.0	order
JN258408|_sliding:91001-92000	Imitervirales	1.0	order
JN258408|_sliding:466001-467000	Imitervirales	1.0	order
JN258408|_sliding:746001-747000	Imitervirales	1.0	order
JN258408|_sliding:145001-146000	Imitervirales	1.0	order
JN258408|_sliding:1190001-1200000	Imitervirales	1.0	order
JN258408|_sliding:715001-720000	Imitervirales	1.0	order
OP880253|_sliding:50001-55000	Nakonvirales	1.0	order
JN258408|_sliding:31001-32000	Imitervirales	1.0	order
JN258408|_sliding:570001-575000	Imitervirales	1.0	order
MT774377|_sliding:61001-62000	Crassvirales	1.0	order
JN258408|_sliding:1170001-1180000	Imitervirales	1.0	order
MT774377|_sliding:40001-50000	Crassvirales	1.0	order
KU159360	Picornavirales	1.0	order
MT774377|_sliding:70001-71000	Crassvirales	1.0	order
JN258408|_sliding:640001-650000	Imitervirales	1.0	order
J02448|_sliding:2001-3000	Tubulavirales	0.5	order
JN258408|_sliding:380001-390000	Imitervirales	1.0	order
JN258408|_sliding:170001-180000	Imitervirales	1.0	order
JN258408|_sliding:1160001-1170000	Imitervirales	1.0	order
EU304328|_sliding:154001-155000	Algavirales	1.0	order
EU916176|_sliding:49001-50000	Algavirales	1.0	order
MT078988|_sliding:52001-53000	Pantevenvirales	1.0	order
KT728930	Tubulavirales	0.5	order
JN258408|_sliding:185001-190000	Imitervirales	1.0	order
JN258408|_sliding:1179001-1180000	Imitervirales	0.6666666666666666	order
OP880253|_sliding:33001-34000	Nakonvirales	1.0	order
JN258408|_sliding:1038001-1039000	Imitervirales	1.0	order
OP880253|_sliding:72001-73000	Nakonvirales	1.0	order
JN258408|_sliding:675001-680000	Imitervirales	1.0	order
EU916176|_sliding:100001-110000	Algavirales	1.0	order
BK013780	Norzivirales	1.0	order
JN258408|_sliding:840001-841000	Imitervirales	1.0	order
MT774377|_sliding:84001-85000	Crassvirales	1.0	order
EU916176|_sliding:34001-35000	Algavirales	1.0	order
JN258408|_sliding:937001-938000	Imitervirales	1.0	order
MT774377|_sliding:10001-20000	Crassvirales	1.0	order
JN258408|_sliding:620001-630000	Imitervirales	1.0	order
JN258408|_sliding:917001-918000	Imitervirales	1.0	order
JN258408|_sliding:1245001-1250000	Imitervirales	0.8333333333333334	order
JN258408|_sliding:210001-215000	Imitervirales	1.0	order
JN258408|_sliding:845001-850000	Imitervirales	1.0	order
MT774377|_sliding:15001-20000	Crassvirales	1.0	order
JN258408|_sliding:809001-810000	Imitervirales	1.0	order
JN258408|_sliding:1070001-1075000	Imitervirales	1.0	order
JN258408|_sliding:740001-750000	Imitervirales	1.0	order
EU376394.1	Picornavirales	0.5	order
AB043679|_sliding:1-1000	Tubulavirales	1.0	order
EU916176|_sliding:1-10000	Algavirales	0.9	order
JN258408|_sliding:396001-397000	Imitervirales	0.6666666666666666	order
M16020|_sliding:1-5000	Picornavirales	0.5	order
EU304328|_sliding:100001-105000	Algavirales	1.0	order
JN258408|_sliding:470001-475000	Imitervirales	1.0	order
JN258408|_sliding:1218001-1219000	Imitervirales	1.0	order
EU304328|_sliding:70001-75000	Algavirales	1.0	order
KC292020|_sliding:44001-45000	Thumleimavirales	1.0	order
EU304328|_sliding:25001-26000	Algavirales	1.0	order
JN258408|_sliding:130001-135000	Imitervirales	1.0	order
JN258408|_sliding:80001-85000	Imitervirales	1.0	order
JN258408|_sliding:895001-900000	Imitervirales	1.0	order
JN258408|_sliding:290001-295000	Imitervirales	1.0	order
JN258408|_sliding:720001-730000	Imitervirales	0.9090909090909091	order
JN258408|_sliding:358001-359000	Imitervirales	1.0	order
EU304328	Algavirales	0.9790794979079498	order
JN258408	Imitervirales	0.9956559513466551	order
KU159360|_sliding:2001-3000	Picornavirales	1.0	order
JN258408|_sliding:147001-148000	Imitervirales	1.0	order
JN258408|_sliding:825001-830000	Imitervirales	1.0	order
EU304328|_sliding:80001-90000	Algavirales	1.0	order
DQ079877.1	Petitvirales	1.0	order
KY853667|_sliding:1-5000	Tubulavirales	0.5714285714285714	order
JN258408|_sliding:860001-865000	Imitervirales	1.0	order
M16020	Picornavirales	0.5	order
EU916176|_sliding:133001-134000	Algavirales	1.0	order
JN258408|_sliding:160001-161000	Imitervirales	1.0	order
JN258408|_sliding:690001-700000	Imitervirales	1.0	order
KC292020|_sliding:40001-45000	Thumleimavirales	0.9	order
BK013469|_sliding:1001-2000	Norzivirales	1.0	order
JN936206	Picornavirales	0.5	order
KC292020	Thumleimavirales	0.9669421487603306	order
JN258408|_sliding:1046001-1047000	Imitervirales	1.0	order
JN258408|_sliding:90001-100000	Imitervirales	1.0	order
JN258408|_sliding:910001-920000	Imitervirales	1.0	order
JN258408|_sliding:250001-260000	Imitervirales	1.0	order
JN258408|_sliding:885001-890000	Imitervirales	1.0	order
JN258408|_sliding:61001-62000	Imitervirales	1.0	order
JN258408|_sliding:1030001-1035000	Imitervirales	1.0	order
JN258408|_sliding:190001-200000	Imitervirales	1.0	order
EU916176|_sliding:36001-37000	Algavirales	1.0	order
MT774377|_sliding:80001-81000	Crassvirales	1.0	order
MT078988|_sliding:1001-2000	Pantevenvirales	1.0	order
JN258408|_sliding:184001-185000	Imitervirales	1.0	order
JN258408|_sliding:728001-729000	Imitervirales	1.0	order
JN258408|_sliding:723001-724000	Imitervirales	1.0	order
JN258408|_sliding:820001-830000	Imitervirales	1.0	order
MN966732|_sliding:16001-17000	Caudoviricetes	1.0	class
BK013889	Leviviricetes	1.0	class
FR667955	Caudoviricetes	1.0	class
MT078988|_sliding:7001-8000	Caudoviricetes	1.0	class
MG748547|_sliding:27001-28000	Caudoviricetes	1.0	class
BK013891|_sliding:3001-4000	Leviviricetes	1.0	class
MT078988	Caudoviricetes	1.0	class
MT078988|_sliding:15001-16000	Caudoviricetes	1.0	class
BK013407	Leviviricetes	1.0	class
MG748547|_sliding:140001-150000	Caudoviricetes	1.0	class
BK013891	Leviviricetes	1.0	class
MT460514.1	Caudoviricetes	0.9942528735632183	class
MT078988|_sliding:10001-11000	Caudoviricetes	1.0	class
MT078988|_sliding:110001-111000	Caudoviricetes	1.0	class
MN966732|_sliding:90001-100000	Caudoviricetes	1.0	class
BK013480	Leviviricetes	1.0	class
MT078988|_sliding:20001-21000	Caudoviricetes	1.0	class
MN966732|_sliding:27001-28000	Caudoviricetes	1.0	class
MN966732|_sliding:120001-125000	Caudoviricetes	1.0	class
FR667955|_sliding:10001-20000	Caudoviricetes	1.0	class
MG748547|_sliding:44001-45000	Caudoviricetes	1.0	class
MG748547|_sliding:110001-111000	Caudoviricetes	1.0	class
MT074475.1	Caudoviricetes	1.0	class
MT078988|_sliding:146001-147000	Caudoviricetes	1.0	class
MT078988|_sliding:150001-151000	Caudoviricetes	1.0	class
FR667955|_sliding:20001-30000	Caudoviricetes	1.0	class
MG748547	Caudoviricetes	1.0	class
MG748547|_sliding:20001-21000	Caudoviricetes	1.0	class
MN966732|_sliding:57001-58000	Caudoviricetes	1.0	class
MG748547|_sliding:128001-129000	Caudoviricetes	1.0	class
MN966732|_sliding:95001-100000	Caudoviricetes	1.0	class
MG748547|_sliding:110001-120000	Caudoviricetes	1.0	class
MG748547|_sliding:153001-154000	Caudoviricetes	1.0	class
MG748547|_sliding:80001-90000	Caudoviricetes	1.0	class
MT078988|_sliding:85001-90000	Caudoviricetes	1.0	class
MT078988|_sliding:58001-59000	Caudoviricetes	1.0	class
MT078988|_sliding:30001-40000	Caudoviricetes	1.0	class
MG748547|_sliding:60001-70000	Caudoviricetes	1.0	class
MG748547|_sliding:112001-113000	Caudoviricetes	1.0	class
MN966732|_sliding:110001-120000	Caudoviricetes	1.0	class
MT078988|_sliding:70001-75000	Caudoviricetes	1.0	class
JN258408|_sliding:800001-801000	Megaviricetes	1.0	class
MT078988|_sliding:87001-88000	Caudoviricetes	1.0	class
MT078988|_sliding:127001-128000	Caudoviricetes	1.0	class
MN966732|_sliding:110001-115000	Caudoviricetes	1.0	class
MG748547|_sliding:148001-149000	Caudoviricetes	1.0	class
JN258408|_sliding:1063001-1064000	Megaviricetes	0.5	class
EU304328|_sliding:171001-172000	Megaviricetes	1.0	class
MN966732	Caudoviricetes	1.0	class
